temperature	strain-1_energy	strain-2_energy	strain-3_energy	strain-4_energy	strain-5_energy	strain-6_energy	strain-7_energy	strain-8_energy	strain-9_energy	strain-10_energy	strain-11_energy
262.0	-8.842898136125	-8.872799867874999	-8.895247622375	-8.91082785125	-8.91991072925	-8.92285247375	-8.919992284125	-8.911606923875	-8.897887483749999	-8.878986401	-8.85513023525
264.0	-8.842935724499998	-8.872837006374999	-8.895284417500001	-8.910864409875	-8.919947145125	-8.92288882825	-8.920028699	-8.911643472625	-8.897924259875	-8.879023494375001	-8.855167745375
266.0	-8.84297409525	-8.872874920374999	-8.895321983	-8.9109017355	-8.919984325875001	-8.922925946875	-8.920065878625	-8.911680788	-8.8979618055	-8.879061361125	-8.855206033625
268.0	-8.84301325525	-8.872913617	-8.895360326	-8.910939834999999	-8.920022278625	-8.92296383675	-8.92010383025	-8.911718877125	-8.898000127625	-8.879100008125	-8.855245107125
270.0	-8.8430532115	-8.872953103	-8.89539945325	-8.910978715499999	-8.920061010125	-8.923002504625	-8.920142560624999	-8.911757746625002	-8.898039233125	-8.879139442375001	-8.855284972500002
272.0	-8.8430939705	-8.872993385125	-8.8954393715	-8.9110183835	-8.92010052725	-8.923041957625001	-8.920182076625	-8.911797403625	-8.89807912875	-8.879179670625001	-8.8553256365
274.0	-8.843135538999999	-8.87303447	-8.895480087625	-8.911058846	-8.920140836875001	-8.92308220225	-8.920222384999999	-8.91183785475	-8.898119821249999	-8.87922069925	-8.855367105500001
276.0	-8.843177923625	-8.873076364374999	-8.895521608125	-8.911100109625	-8.920181945625	-8.92312324525	-8.920263492375	-8.9118791065	-8.89816131725	-8.879262535125001	-8.85540938625
278.0	-8.843221130624999	-8.873119074625	-8.895563939625001	-8.911142180875	-8.92022386	-8.923165093375001	-8.920305405499999	-8.91192116575	-8.898203623375	-8.879305184625	-8.855452485125001
280.0	-8.84326516675	-8.87316260725	-8.895607088625	-8.911185066375	-8.920266586750001	-8.923207753125	-8.920348130875	-8.91196403875	-8.898246745875	-8.879348654125	-8.855496408375
